Title,Slug,Deal Count,About,QA
The Feil Organization,the-feil-organization,18,"The Feil Organization is a family-owned real estate investment, development, and management company based in New York City. Founded in 1950, it owns, develops, and manages a nationwide portfolio of over 24 million square feet of retail, commercial, and industrial properties, as well as more than 5,000 residential rental units. The company operates across various regions including New York, New Orleans, Florida, Connecticut, Illinois, and Washington, D.C. It is governed by a nine-member board and is led by CEO and Chairman Jeffrey J. Feil. The Feil Organization is committed to providing high-quality space for its clients and communities, adhering to principles of diversity in holdings, low debt, and extensive expertise in property management.",TRUE
FTS Capital,fts-capital,18,"FTS Capital is a commercial real estate company that provides information on recent transactions, insights into the players involved, and opportunities for networking. The company's activities and services are not detailed on the provided sources, but it appears to focus on commercial real estate transactions and related activities.",TRUE
GFP Real Estate,gfp-real-estate,18,"GFP Real Estate is a vertically integrated owner, operator, property manager, and developer of commercial real estate in the New York metropolitan area. Founded in 1952 by Aaron Gural, the company has been family-owned and operated for over seven decades. It is known for its commitment to providing best-in-class buildings and services to its tenants and clients. The company focuses on small- and medium-sized tenants and nonprofit organizations within New York City. GFP Real Estate manages over 50 buildings and more than 11 million square feet of commercial real estate, including iconic properties in Manhattan, Queens, Brooklyn, and Jersey City. The company's team includes industry leaders in asset management, finance, leasing, construction, and building maintenance. GFP Real Estate is dedicated to improving all its properties and enriching their surrounding neighborhoods through excellent service and community involvement.",TRUE
HVS Brokerage & Advisory,hvs-brokerage-advisory,18,"HVS Brokerage & Advisory is a division of HVS, a global consulting firm specializing in the hospitality industry. Established in 1980, HVS performs over 4,500 assignments annually for major industry participants. The brokerage and advisory division offers expertise in hotel transactions, including investment sales, franchise negotiations, and distressed deal management. With a presence in over 50 offices worldwide, HVS provides a comprehensive range of services to clients across the hospitality sector.",TRUE
Forman Capital,forman-capital,17,"Forman Capital is a private commercial real estate debt and equity financing provider based in South Florida. The company focuses on short-term construction financing, bridge loans, mezzanine debt, and preferred equity across various real estate asset classes and geographies. Forman Capital has closed over $2.9 billion in commercial real estate transactions since 2004. The firm is known for its fast and efficient approval process, providing certainty of execution and leveraging unique industry expertise to generate above-average risk-adjusted returns.",TRUE
Senn√©,senne,17,"Senn√© is an industry-leading real estate advisory and investment firm headquartered on Boston's historic Waterfront. Founded in 2009 in Cambridge, Massachusetts, the company provides customized real estate solutions for clients across Greater Boston, New Hampshire, Connecticut, Rhode Island, New York City, and Washington, D.C. Senn√© offers brokerage and advisory services to private and institutional investors and developers through cutting-edge analysis, positioning, and marketing. The company is dedicated to helping clients achieve their goals through highly specialized and team-oriented services.",TRUE
Adams & Company,adams-company,17,"Adams & Company is a full-service commercial real estate firm founded in 1920. The company provides property management, brokerage, and consulting services. It specializes in the rental, sale, and management of midtown business properties, particularly in the Garment District. The firm has managed over 125 buildings with a value of over $130 million and continues to prioritize reinvestment in its legacy properties. Adams & Company is known for its commitment to superior service and top management, with a focus on optimizing property operations and reducing environmental impact. The company also supports non-profit and mission-based organizations and donates to charitable causes.",TRUE
Emerald Creek Capital,emerald-creek-capital,17,"Emerald Creek Capital is a direct portfolio lender originating commercial bridge loans. The firm provides short-term financing secured by a 1st mortgage and specializes in bridge loans secured by commercial real estate in primary markets. With offices in Manhattan, Boston, Pennsylvania, and South Florida, Emerald Creek Capital has built a reputation as a leader in the middle market real estate investment business. The firm has executed on more than $2.8B in over 500 debt and equity transactions and has recently launched an opportunistic equity fund.",TRUE
Strive,strive,17,"STRIVE is a commercial real estate advisory firm that specializes in the sale and disposition of commercial properties. The company has successfully completed transactions, including the sale of a community shopping center in the DFW area. STRIVE is known for its expertise and high level of service in the commercial real estate industry.",TRUE
Arktic Real Estate,arktic-real-estate,16,"Arktic Real Estate New Development is a company that specializes in real estate development, offering a range of services including market research, planning, design, marketing, sales, and leasing. The company integrates extensive market awareness to deliver holistic solutions and collaborates with esteemed developers, architects, and interior designers to create enviable properties globally. It is committed to delivering maximal value through its network of real estate experts and stands as a beacon in the global real estate landscape.",TRUE
Sperry Commercial Global Affiliates I RJ Realty,sperry-commercial-global-affiliates-i-rj-realty,16,"Sperry Commercial Global Affiliates (SperryCGA) and RJ Realty is an investment real estate brokerage operation. The company primarily represents property owners with the sale of both investment and owner-user properties. They also assist buyers with due diligence and financing when requested. SperryCGA is an international real estate company with a local reach on a global scale, utilizing state-of-the-art technology and experienced market knowledge to deliver exceptional results. The company has grown significantly since its launch in 2016, with over 3,304 total deals and a total sales volume of $3.5 billion. It operates through 61 offices worldwide.",TRUE
Brookfield Properties,brookfield-properties,16,"Brookfield Properties is a North American subsidiary of commercial real estate company Brookfield Property Partners, which itself is a subsidiary of alternative asset management company Brookfield Asset Management. It is responsible for the asset management of the company's real estate portfolio, including office, multi-family residential, retail, hospitality, and logistics buildings. The company has acquired several notable properties and companies, such as General Growth Properties in 2018, and has expanded its operations globally with offices in nine countries. Brookfield Properties prioritizes sustainability and community engagement, aiming to create high-quality, eco-friendly living and working spaces.",TRUE
BZG International,bzg-international,16,"BZG International is a full-service real estate brokerage firm located in Miami, FL. It dedicates itself to selling and leasing residential properties throughout South Florida, representing sellers, buyers, landlords, and tenants. The company prides itself on building long-term relationships by being transparent, creating win-win scenarios, and advising clients to make the best decisions for investment properties or primary residences.",TRUE
Priority Capital Advisory,priority-capital-advisory,16,"Priority Capital Advisory is a premier boutique debt and equity capital advisor for middle and upper middle market commercial real estate sponsors. The company arranges highly structured and innovative finance solutions, focusing on transactions with a total capitalization of $30 million to $200 million. With a combined 40 years of commercial real estate experience, the team provides exceptional service and expertise in curating solutions for clients' capitalization journeys. Priority Capital Advisory has a proven track record, having closed over $5 billion in transactions, worked with over 500 capital providers, and managed over 10,000 multifamily units and hotel keys.",TRUE
Marshall Real Estate,marshall-real-estate,16,"Marshall Real Estate is a boutique commercial real estate investment agency with over 15 years of experience in the industry. The company specializes in the purchase and sale of commercial real estate in Central London and the UK, with over ¬£1bn of transactional experience. They assist clients globally in buying and selling commercial investment and development properties, focusing on tailored, personal service, institutional rigor, niche efficiency, results and solution focus, and repeat business.",TRUE
Vertical Real Estate,vertical-real-estate,15,"Vertical Real Estate is a boutique real estate company based in Miami, FL, focused on cutting-edge food & beverage brands and aspirational retail. The company is committed to shaping Miami's most iconic neighborhoods through integrated urbanization projects and neighborhood-shaping initiatives.",TRUE
Goodwin & Associates Real Estate,goodwin-associates-real-estate,15,"Goodwin & Associates Real Estate, LLC is a real estate brokerage company founded in 1996 by Mark Goodwin, a University of Illinois graduate and vocational agriculture teacher. The company specializes in the sale of farm, commercial, development, and residential land in the northern two-thirds of Illinois, including the collar counties of Chicago. The firm provides a range of services including entitlement and approval services, valuation services, marketing network, farm management, consulting, institutional special assets representation, site selection, portfolio disposition, and auction services. The company is known for its extensive experience in land sales and its ability to assist clients with 1031 tax exchanges, which can save clients hundreds of thousands of tax dollars. Goodwin & Associates Real Estate, LLC is accredited with the Accredited Land Consultant (ALC) award and is a member of Rotary International and the REALTORS¬Æ Land Institute (RLI).",TRUE
Hannah Howard Advisory,hannah-howard-advisory,15,"Hannah Howard Advisory is a commercial real estate brokerage firm specializing in investment sales and financing, particularly for multifamily properties in the sunbelt. The company is led by Hannah Howard, who has sold and financed over $1 billion in real estate transactions. The firm offers services including long-standing lender relationships, market intelligence, and customer service.",TRUE
The Mega Group,the-mega-group,15,"The Mega Group, based in Danvers, MA, has been providing commercial real estate brokerage services since 1997. The company specializes in investment and commercial sales, hotels and hospitality investments, retail and industrial leasing, real estate development, and retail property management. Their services cover the greater metropolitan Boston area, the seacoast of New Hampshire, and southern Maine. The company offers a wide range of services including retail properties, hospitality investments, business brokerage services, and 1031 tax deferred exchanges.",TRUE
BM2 Realty,bm2-realty,15,"BM2 Realty is a commercial real estate company based in Aventura, Florida, with over 20 years of experience in the field. The company provides fully integrated services, including property management, investment opportunities, and assistance with transactions. They specialize in identifying client requests, recommending the best opportunities, preparing contracts, and cooperating with inspections and due diligence. Additionally, they offer conventional and private lending options with fast closing times.",TRUE
Gemstone Realty Group,gemstone-realty-group,15,"Gemstone Realty Group is a premier property management and real estate company dedicated to delivering unparalleled management services for your properties. They offer comprehensive market analysis, rigorous tenant screening, prompt rent collection, and detailed financial reporting tools. The company is committed to providing exceptional service, professionalism, and peace of mind to its clients, with a focus on transparency, reliability, and community service.",TRUE
H2C Securities,h2c-securities,15,"H2C Securities Inc. is a subsidiary of Hammond Hanlon Camp LLC (H2C), an independent strategic advisory and investment banking firm specializing in healthcare mergers and acquisitions, capital markets, and real estate transactions. H2C Securities offers securities through its wholly owned subsidiary and is a member of FINRA/SIPC. The firm provides advisory services to healthcare organizations and related companies, with a focus on not-for-profit sectors. It has a long track record of success in various transactions representing billions of dollars in value.",TRUE
Castellan Capital,castellan-capital,15,"Castellan Capital is a privately held direct portfolio lender that provides bridge loans. It specializes in time-sensitive situations where conventional real estate financing is not available. The company offers fast, flexible, and reliable commercial real estate financing nationwide with discretionary balance sheet funding.",TRUE
Equity Lending Solutions,equity-lending-solutions,15,"Equity Lending Solutions is a direct private/hard money lending company specializing in various types of investment properties throughout Florida. They focus on tailoring loans to each specific borrower type, emphasizing transparency and no surprises at the closing table. Their services include quick approval processes, easy and friendly underwriting, no prepayment penalties, and record-time closings. They offer online notarization for remote closings and cater to foreign nationals. The company provides flexible loan options for fix and flip, ground-up construction, bridge loans, and DSCR loans. They prioritize building strong, lasting relationships with their clients to drive the growth of their real estate investments.",TRUE
Insight Realty Group,insight-realty-group,14,"Insight Realty Group is a real estate company based in Greater Boston, with offices in West Roxbury and Hyde Park. It is the #1 market leader in Roslindale, West Roxbury, and Hyde Park. The company has over 50 years of combined experience in the Greater Boston real estate market and offers innovative marketing plans to maximize all channels of marketing, leveraging tools from top real estate companies to achieve results.",TRUE
American Street Capital,american-street-capital,14,"American Street Capital (ASC) is a Chicago-based national commercial mortgage banking firm with correspondent lending relationships, specializing in the acquisition, reposition, disposition, and financing of commercial real estate. The company was founded by Igor Zhizhin and has over 20 years of experience in the industry. ASC has successfully executed numerous transactions across various regions, including Palm Beach County, FL, Alsip, IL, Jonesboro, GA, and Burbank, IL. The firm is led by experienced professionals such as James R. Bogard (Principal & Chief Credit Officer), Alexander F. Rek (Principal & Director of Operations), and Tom Krouse (Account Executive).",TRUE
Athene,athene,14,"Athene Holding Ltd. is a leading retirement services company that issues, reinsures, and acquires retirement savings products. It provides various annuity options, including fixed, indexed, and hybrid annuities, to help individuals build and secure their retirement income. The company is headquartered in West Des Moines, Iowa, and is a subsidiary of Apollo Global Management, Inc. Athene is known for its financial strength and stability, with high ratings from independent rating agencies such as S&P, Fitch, AM Best, and Moody's.",TRUE
KeyBank Real Estate Capital,keybank-real-estate-capital,14,"KeyBank Real Estate Capital is a leading provider of commercial real estate finance, offering a broad range of financing solutions including interim and construction financing, permanent mortgages, commercial real estate loan servicing, investment banking, and cash management services. Headquartered in Cleveland, Ohio, the company provides financing for various types of income-producing commercial real estate, including multifamily properties, affordable housing, seniors housing, and student housing. KeyBank Real Estate Capital is also a Fannie Mae Delegated Underwriter and Servicer, Freddie Mac Program Plus Seller/Servicer, and FHA approved mortgagee. The company is part of KeyCorp, one of the nation's largest bank-based financial services companies with assets of approximately $181.2 billion as of March 31, 2022.",TRUE
Trustone Realty Advisors,trustone-realty-advisors,14,"Trustone Realty Advisors is a leading advisory firm dedicated to providing comprehensive services to clients across various sectors. The company specializes in industrial real estate investments and management, with expertise in investment sales and landlord representation. It operates in markets such as Orlando, South Florida, and Tampa/St Petersburg. The firm's principal, Jake Zebede, has extensive experience in real estate, having represented 14 million square feet of properties in South Florida and worked on over $3 billion in transactions. Trustone Realty Advisors employs a team that includes Joseph Linder and Kevin Gonzalez.",TRUE
Blue Ocean Property Management,blue-ocean-property-management,14,"Blue Ocean Property Management LLC is a real estate company based in Boston, MA. It was incorporated on March 26, 2019, and operates as a Limited Liability Company (LLC). The company is involved in activities related to real estate, including property management, leasing, and appraisals. It has 2 employees and is known for its services in residential and commercial property management.",TRUE
Aho Properties,aho-properties,14,"Aho Properties is a boutique commercial real estate firm founded in 2018 by Joel M. Aho. The firm specializes in tailored brokerage services, including commercial real estate sales, leasing, consulting, and investment sales. Aho Properties is known for its expertise in off-market property acquisition assignments. Joel Aho, a third-generation real estate professional, brings over fourteen years of brokerage experience to the company. He has also worked as a Senior Financial Analyst for BAE Systems and has real estate development experience, including securing permits for a 25,000 SF industrial project in Southborough, MA.",TRUE
Stony Brook & Lennox Realty Advisors,stony-brook-lennox-realty-advisors,14,"Stony Brook & Lennox Realty Advisors is a leading real estate firm in Boston, specializing in high-level services for sellers, investors, buyers, and developers. The firm is led by top-producing real estate broker Markese Daise and is well-versed in the Boston real estate market. They focus on multi-family property sales, investment real estate sales, developer representation, seller representation, investor representation, residential and commercial sales/leasing, traditional home and condo sales, and buyer representation. The company is known for its innovative strategies and high-value outcomes in today's real estate market.",TRUE
SL Green Realty,sl-green-realty,14,"SL Green Realty Corp. is a fully integrated real estate investment trust (REIT) primarily focused on acquiring, managing, and maximizing the value of Manhattan commercial properties. As of September 30, 2024, the company held interests in 55 buildings totaling 31.8 million square feet, including ownership interests in 28.1 million square feet of Manhattan buildings and 2.8 million square feet securing debt and preferred equity investments. The company is Manhattan's largest office landlord and offers services such as property management, development, and leasing.",TRUE
Arborview Realty,arborview-realty,14,"Arborview Realty Inc is a full-service real estate firm specializing in residential real estate, including home buying, selling, and rentals. The company is based in Jamaica Plain, Massachusetts, and has over 31 years of experience in the local market. It is known for its high-level expertise, customer service, and attention to detail. The firm has a team of licensed agents and property managers, including Christian Iantosca, the #1 agent in Jamaica Plain from 2011 to 2023. Arborview Realty manages over 200 rental properties and has a reputation for efficiency and professionalism in both sales and property management.",TRUE
Alfred Sanzari Enterprises,alfred-sanzari-enterprises,14,"Alfred Sanzari Enterprises is a family-owned and operated commercial and residential real estate firm founded in 1945. The company specializes in the development and management of office, industrial, residential, and hospitality assets. It is headquartered in Hackensack, New Jersey, and is known for its commitment to quality and service. The company's operations include construction, leasing, finance, operations, and property management. It has a diverse portfolio of over six million square feet of real estate, with a focus on long-term ownership and responsible development that enhances local communities.",TRUE
HPNY,hpny,13,"Hakimian Properties Inc. (HPNY) is a real estate company based in New York, specializing in commercial real estate services. The company offers a range of services including sales, leases, financings, and construction. HPNY is led by experienced real estate brokers such as Itai Hakimian and Sean Lefkovits.",TRUE
Harvard Real Estate,harvard-real-estate,13,"Harvard Real Estate is committed to supporting Harvard University in building and operating a healthier, more equitable, and more sustainable campus community. It provides real estate services to the Harvard University community, including asset management for commercial spaces and strategic real estate support. The organization also offers a Sustainable Workplace Initiative to help tenants reduce their workplace's footprint and engage in sustainability projects.",TRUE
Crowd Lending,crowd-lending-,13,"Crowd Lending, Inc. is a Boston-based company founded by experienced real estate professionals. It provides borrowers with hassle-free, affordable alternatives to institutionalized lending. The company is a vertically integrated, regional direct hard money lender that sources, underwrites, funds, and services real estate loans throughout the Northeast. Crowd Lending, Inc.'s mission is to bridge the gap between real estate investors and developers by offering a secure and efficient lending platform. The company's core values include integrity, transparency, reliability, and flexibility, with over 40 years of combined real estate experience among its founders.",TRUE
Rooney Real Estate,rooney-real-estate,13,"Rooney Properties, LLC is a privately held real estate development company located in Arlington, Virginia. The company specializes in commercial real estate development in the Washington, DC metro area, focusing on mixed-use, multi-family, and office properties. The team combines diverse backgrounds and skillsets to handle acquisitions, investment management, complex entitlements, development, asset management, and construction management. The company emphasizes safety, excellence, integrity, respect, and a client-driven culture in its operations.",TRUE
The Econic Company,the-econic-company,13,"The Econic Company was founded with a singular goal: to provide a specialized and bespoke retail real estate experience for both landlords and tenants in an ever-changing retail and economic landscape. Our principal and founder, James Chung, is a highly regarded retail broker with 22 years of experience in the commercial real estate industry nationwide.

Born and raised in the Bay Area (and a proud Berkeley graduate!), James has his finger on the pulse of every retail corridor across the region’s nine counties. We represent over 40 million square feet of retail space and work with 200 national and regional tenants, helping them navigate leasing and location strategies across the U.S.

We understand retail down to the square inch, and our commitment to serving clients to the highest standard guides everything we do. Our strong, trusted, and longstanding relationships with owners and occupiers allow us to create unparalleled value for both sides of a transaction.",TRUE
Boston Brokerage Group,boston-brokerage-group,13,"Boston Brokerage Group is a full-service real estate brokerage firm founded on a long tradition of client satisfaction, experience, and market knowledge. The company was established in 2006 and is located in the Fenway area of Boston. It specializes in housing and has completed numerous projects, including a $500 million transit-oriented mixed-use development. Boston Brokerage Group is committed to providing timely and professional services, leveraging advanced technology to meet client needs. The firm is known for its customer service and trust, building on the values of Eurovest Realty, which was founded by Joe DiGangi Sr. in 1975.",TRUE
Cozza Investment Group,cozza-investment-group,13,"Cozza Investment Group is a real estate company based in Fort Myers, Florida, specializing in luxury homes. The company, led by Brad Cozza, has over 20 years of experience and has expanded to the South Florida market, including Miami. With a team of 20 bilingual and diverse agents, Cozza Investment Group offers a seamless real estate experience designed to provide value at every stage. The company is known for its bulk acquisition model and strategic home renovation services. It has been ranked #10 in the nation for volume produced nationwide by the Wall Street Journal and has navigated multiple market cycles successfully.",TRUE
Junction Commercial Real Estate,junction-commercial-real-estate,13,"Junction Commercial Real Estate is a full-service commercial real estate firm specializing in brokerage and investment management. With over thirty years of experience, the company aims to be the preeminent commercial real estate brokerage and investment management company in the USA. The firm offers a range of services including project management, corporate services, and financial management, led by a team of distinguished real estate brokers and development professionals.",TRUE
GAIA Property Group,gaia-property-group,13,"GAIA Property Group is a real estate company specializing in both residential and commercial property development. The company focuses on creating sustainable and versatile environments that enhance life and work. It prioritizes innovation, sustainability, and flexibility in its projects. GAIA Property Group is managed by a dedicated team committed to quality and safety, ensuring each development meets the highest standards. The company is led by Russ and Marie, who drive the business with strong ethics, a pursuit of excellence, and a passion for creating meaningful spaces.",TRUE
Onyx Funding,onyx-funding,13,"Onyx Funding is a national, full-service commercial real estate firm with a focus on financing and loan origination. The company offers diverse expertise, vast lender relationships, and real estate market experience to customize financing solutions for clients. With a strong presence in the industry, Onyx Funding has successfully originated and managed investments for over thirty years, growing from operators with a vision to a professional commercial investment firm with a presence in debt lending, operating, and the MHC market.",TRUE
Greenrock Funding,greenrock-funding,12,"Greenrock Funding LLC specializes in providing various financing options for commercial real estate, including construction loans, note-to-note financing, ground-up construction, hard money, and bridge money. The company scrutinizes each client's situation to identify the best financing options available. Their services cater to diverse clients, ranging from multi-family apartment buildings to office buildings and large-scale commercial properties. The company is based in New York and has been established since 2014.",TRUE
S2 Property Group,s2-property-group,12,"S2 Property Group is a distinguished boutique real estate investment and advisory firm specializing in off-market industrial opportunities. The firm is led by Principal Solomon Michailow, who has transacted on over $500 million in office, industrial, and multi-family transactions.",TRUE
Fairview Property Group,fairview-property-group,12,The website for Fairview Property Group is currently under maintenance. It is not possible to retrieve detailed information about the company from the provided link.,TRUE
Winston Capital Management,winston-capital-management,12,"Winston Capital Management is a hedge fund company based in Arlington, VA. It operates 4 private funds and has approximately $1.22 billion in total assets. The company is a Limited Liability Company (LLC) registered in the United States with SEC number 801-54022. It focuses on fund of funds strategies and manages pooled investments of 51-75 percent. The key executives include Marvin Pierce Bush as President/Director, Jonathan David Scanlon as Director/Vice-President, and William Otto Birchfield as Chief Financial Officer/Chief Operating Officer/Chief Compliance Officer/Treasurer/Secretary/Director.",TRUE
Broad Sound Real Estate,broad-sound-real-estate,12,"Broad Sound Real Estate, LLC specializes in Revere Real Estate and provides services for buying, selling, and renting properties. The company is based in Revere, Massachusetts, and serves the North Shore area, including Winthrop, Lynn, East Boston, Saugus, Chelsea, and East Boston. They assist both first-time home buyers and seasoned real estate investors. The team includes experienced agents such as Nicholas Daher, Matt, Steve, Esteban, Juan Franco, Sebastian Taborda, and Stephen Schultz. The company offers a variety of real estate services, including comparative market analyses and financial analyses for investment properties.",TRUE
Jeffery Realty,jeffery-realty,12,"Jeffery Realty is a 30-year-old successful commercial real estate brokerage firm specializing in the selling and leasing of retail properties in New Jersey. The company has consummated and co-brokered more than 3,500 retail transactions. It focuses on providing the best service to landlords, developers, and retailers by putting their goals and objectives first. Services include leasing, site selection, tenant representation, and investment sales. The firm's involvement is strictly on a retail leasing basis, excluding office and industrial properties. It aims to develop long-term working relationships by helping customers find the right deals.",TRUE
RJBRE,rjbre,11,"RJBRE is a full-service commercial brokerage that specializes in both tenant and landlord representation. With over a decade of experience in commercial leasing, the company aims to deliver exceptional service by providing clients with the information and insights necessary to make informed decisions. Their team possesses expertise in market knowledge, expert negotiation skills, and closing deals. The company's goal is to secure the best possible deals for all parties involved and help pave a path for success.",TRUE
Parkway Properties,parkway-properties,11,"Parkway is a fully diversified real estate investment, operations, and management firm dedicated to transforming communities. It operates in various national markets and offers comprehensive solutions for investors, developers, and financial leaders. The company has over 200 years of executive leadership experience and manages approximately 30 million square feet under its portfolio. Parkway has been recognized for its leasing excellence and is committed to sustainability and accessibility.",TRUE
Biscayne Advisors,biscayne-advisors,11,Biscayne Advisors is a full-service real estate brokerage firm specializing in off-market transactions.,TRUE
Younger Partners,younger-partners,11,"Younger Partners is a full-service boutique commercial real estate firm providing investment, leasing, and management services to investors and tenants in the Dallas/Fort Worth region. The company specializes in the acquisition and disposition of land, multifamily, office, industrial, and retail properties. With a talented team of real estate professionals, Younger Partners aims to deliver lasting value for its clients by identifying opportunities in various types of real estate.",TRUE
Bravo Capital,bravo-capital-,11,"Bravo Capital is a leading privately-held lender with a national footprint, specializing in real estate lending. The company provides a broad array of financing solutions, including HUD, mezzanine, and bridge financing, primarily for multifamily and healthcare properties. It is headquartered in New York City and has overseen billions of dollars in HUD financings. Bravo Capital is known for its deep knowledge of the HUD financing process, thorough underwriting standards, and commitment to transparency and client relationships.",TRUE
Reavis Partners,reavis-partners,11,"Reavis Partners is a real estate company based in Brooklyn, New York. It operates primarily in the residential real estate market, with a focus on buying and selling homes. The company is known for its expertise and innovative marketing strategies, including a dedicated media team and proprietary technology. Reavis Partners has a track record of over $20 billion in sales and more than $10 billion in new development sales, making it a prominent player in the industry. The company offers exclusive fully furnished rental packages through its Luxe Staging service, aiming to elevate the leasing experience with luxury and sophistication.",TRUE
Top Nest Properties,top-nest-properties,11,"Top Nest Properties is a full-service real estate firm headquartered in Brooklyn, led by a team of industry experts. The company is known for its exceptional agents, innovative technology, and impressive sales record. It prides itself on ethics and values shared throughout the firm, offering individualized services and delivering exceptional results. The company has a proven track record in real estate experience, support, and success, making it a trusted name for buyers, sellers, and investors alike.",TRUE
K2 Realty,k2-realty,11,"K2 Realty, Inc. is a real estate company based in Sugar Land, Texas. Founded in 2003 by James Kenny and Paul Kaneb, it specializes in exclusive real estate services. The company is known for its local expertise and community-driven approach. K2 Realty offers services including buying, selling, and leasing of residential and commercial properties, as well as assistance with short sales and foreclosure prevention. The company operates under the philosophy of 'Our Community, Our Strength,' emphasizing its commitment to the local community and clients.",TRUE
JBM Institutional Multifamily Advisors,jbm-institutional-multifamily-advisors,11,"JBM Institutional Multifamily Advisors is a boutique brokerage firm specializing in multifamily asset disposition services, equity placement, capitalization, and recapitalization of new merchant developments and existing multifamily portfolios. The company focuses exclusively on high-rise, mid-rise, garden, and BTR/SFR style apartment communities throughout Florida. With extensive relationships and $19.4+ billion in multifamily transactions, JBM provides streamlined disposition services that maximize sales proceeds, control, and transparency. The firm is known for its market dominance in Southwest Florida and has been ranked as the #1 boutique brokerage firm in the U.S. and the #1 broker in Southwest Florida. JBM has offices in Naples, St. Petersburg, and Orlando, Florida.",TRUE
Basis Industrial,basis-industrial,11,"Basis Industrial is a privately held and vertically integrated real estate owner and operator based in Boca Raton, Florida. The company was formed by industry veterans and sponsors Daniel Weinstein, Jay Massirman, and Jay Stephen Garchik. It has over 100 years of combined real estate development and management experience. Basis Industrial focuses on under-managed niche real estate asset classes, including self-storage and multi-tenant industrial warehousing throughout the US. The company currently owns over 5 million square feet of self-storage and industrial real estate and is active in various markets nationwide. Its property management arm is BaySpace.",TRUE
Telos Group,telos-group,10,"The Telos Group LLC is a Chicago-based real estate services firm specializing in the re-imagining, marketing, and leasing of commercial office properties. The company provides leasing, marketing, and consulting services in Chicago and consulting services for real estate businesses nationwide. Telos employs a disciplined and goal-driven process to create entrepreneurial solutions customized for each assignment. As Chicago's only dedicated owner representation firm, it has been the leader in shaping the evolution of office space for innovative businesses. The firm represents a portfolio of over 23 million square feet encompassing historic to trophy buildings owned by diverse ownership groups, from entrepreneurial investor consortiums to international institutions. The Telos Group was awarded Office Property Representative of the Year from 2012 through 2015 as well as 2017 by the Chicago Commercial Real Estate Awards.",TRUE
NCO Realty Group,nco-realty-group,10,"NCO Realty Group is a small real estate company based in Boston, MA. The company focuses on providing personalized services to both sellers and buyers. It is owned by Nelson Otuechere, who has over a decade of experience in residential leasing and sales. The team includes licensed sales agents such as Charlotte Hilton, Anthony Bolt, Alexa Holmes, and Dexter Forrester, as well as an operations manager, Britney Francois. The company emphasizes authenticity, integrity, and excellence in its dealings with clients, colleagues, and partners.",TRUE
WD Capital Group,wd-capital-group,10,"WD Capital Group is a commercial real estate company that focuses on exploring recent transactions, learning about the players involved, and networking opportunities. It provides insights into commercial real estate activities and facilitates connections within the industry.",TRUE
BankUnited,bankunited,10,"BankUnited is a commercial bank that offers a variety of financial solutions for businesses, including commercial lending, real estate financing, and treasury services. The bank provides tailored commercial banking solutions, capital financing options, and specialized services such as lines of credit, term loans, and commercial card programs. BankUnited also has a dedicated team for commercial real estate lending and has promoted executives to oversee this business in Florida. The bank is committed to providing personalized service and supporting businesses with customized solutions to help them grow and prosper.",TRUE
The Collective Realty,the-collective-realty,10,"The Collective Realty is a boutique real estate firm based in Los Angeles. Founded by Anthony Vulin, the company focuses on exceeding client expectations through experienced and knowledgeable agents. The firm operates in the Greater Los Angeles Area, specializing in residential and commercial properties. Anthony Vulin has a significant background in real estate, having started his career after graduating from UCLA in 2000. He has managed and built successful teams at Keller Williams, including the Los Feliz office, which he transformed from #5 to #1 in local market share. The Collective Realty is known for its rigorous agent selection process, hiring only 10% of interviewed agents. The company is also recognized for its international marketing capabilities, marketing properties to over 50 International MLSs. Anthony Vulin is a Director for the California Association of Realtors, Past President of the Greater LA Association of Realtors, and National Vice President of the LGBTQ Real Estate Alliance.",TRUE
Mocca Realty,mocca-realty,10,"Mocca Realty is a real estate company based in Miami, Florida. It is associated with Mocca Group, which specializes in luxury real estate, construction, and hospitality. The company is known for its expertise in exclusive listings and personalized services. It is led by Alex Pirez, who has over 20 years of experience in the industry. Mocca Realty is involved in high-end real estate deals, including the sale of a non-waterfront spec mansion for $21 million in Coral Gables.",TRUE
Kole Group,kole-group,10,"Kole Group is a real estate company dedicated to maximizing real estate asset value. The company provides services for commercial use and offers guidance for rentals, buyers, and sellers. It has offices in various locations including Long Island, Queens, Lower Hudson Valley, Manhattan, Bronx, and Brooklyn. The company can be contacted at 917.485.5519 or via email at ak@kole.group.",TRUE
Curated Real Estate Capital,curated-real-estate-capital,10,"Curated Real Estate Capital is a company that operates in the Finance industry, headquartered in Miami, Florida. It specializes in delivering bespoke financing solutions tailored to each client's specific needs, ensuring execution with certainty and speed. The company has experience in various real estate transactions, including single-family home subdivisions, multifamily apartments, and built-to-rent homes. It is led by partners such as Cameron Huard, Will Macfee, Luca Zaharias, Albert Malik, AJ Miele, Jabari Quigley, and CJ Molino.",TRUE
Smith Commercial Property Group,smith-commercial-property-group,10,"Smith-CRE is a real estate investment, development, and management firm headquartered in Miami, Florida. The company specializes in commercial real estate, offering services in leasing, sales, and property management. Their strategy involves analyzing client goals, setting action plans, and taking proactive steps to find suitable tenants and investments. They manage real estate fund investments on behalf of their clients and provide stress-free property management services, handling day-to-day operations and financial management tailored to individual needs.",TRUE
